day_of_week,weather_main,temp,rain_1h,holiday,destination_type,preferred_arrival_hour,traffic_level,best_departure_hour
Monday,Clear,306.85,0.0,No,market,12,Low,12
Saturday,Drizzle,295.4,1.09,No,market,17,High,14
Thursday,Thunderstorm,299.7,1.87,No,office,9,High,6
Wednesday,Clear,308.92,0.0,No,residential,7,Low,7
Wednesday,Clouds,303.47,0.03,No,office,9,Medium,6
Thursday,Clear,302.22,0.0,No,office,10,Medium,8
Friday,Rain,296.52,0.77,No,station,17,Medium,14
Sunday,Haze,292.31,0.0,No,office,11,Low,10
Saturday,Clouds,299.77,0.2,No,office,11,Low,10
Tuesday,Rain,297.67,1.92,No,residential,7,Medium,5
Thursday,Haze,295.84,0.0,No,mall,17,Medium,16
Thursday,Clear,308.77,0.0,Yes,station,19,Medium,17
Friday,Clear,301.31,0.0,No,office,9,Medium,7
Thursday,Clear,309.49,0.0,No,station,7,Medium,5
Friday,Clouds,291.28,0.15,No,mall,12,Low,11
Sunday,Clear,300.89,0.0,No,market,12,Medium,11
Wednesday,Clouds,303.98,0.19,No,residential,17,Low,17
Wednesday,Rain,288.76,0.61,No,residential,18,Medium,16
Friday,Drizzle,290.57,0.69,No,office,8,Medium,5
Wednesday,Clouds,302.35,0.18,No,mall,20,Medium,18
Thursday,Clear,300.41,0.0,No,station,8,Medium,6
Saturday,Clouds,305.33,0.13,Yes,office,12,Low,12
Tuesday,Clear,297.24,0.0,No,office,9,Medium,7
Monday,Fog,281.87,0.0,No,mall,13,Low,12
Thursday,Clear,295.95,0.0,No,market,11,Low,11
Tuesday,Clouds,303.57,0.02,No,station,7,Medium,5
Monday,Clouds,290.27,0.05,No,market,11,Low,10
Thursday,Clouds,296.15,0.12,No,market,17,Medium,15
Sunday,Clouds,297.79,0.19,Yes,office,12,Low,11
Saturday,Clouds,305.46,0.01,Yes,mall,12,Medium,11
Monday,Clouds,295.53,0.2,No,office,10,Medium,7
Thursday,Rain,296.07,1.81,No,mall,12,Medium,10
Wednesday,Clear,302.07,0.0,No,station,17,Medium,15
Tuesday,Clouds,292.59,0.18,No,office,9,Medium,7
Monday,Rain,294.46,1.5,No,office,9,High,6
Friday,Rain,297.26,2.15,No,mall,20,Medium,18
Monday,Haze,288.59,0.0,No,mall,13,Low,13
Monday,Rain,299.37,2.16,No,office,8,High,5
Thursday,Clear,298.47,0.0,No,residential,17,Low,17
Wednesday,Clouds,296.81,0.03,No,office,8,Medium,6
Monday,Clouds,295.8,0.07,No,residential,19,Low,19
Saturday,Clear,294.63,0.0,No,office,12,Low,11
Thursday,Clear,303.25,0.0,No,mall,18,Medium,17
Tuesday,Clouds,295.24,0.04,No,residential,20,Low,20
Monday,Fog,289.7,0.0,No,office,8,Medium,5
Monday,Clear,303.65,0.0,No,market,11,Low,11
Monday,Clouds,297.82,0.02,No,market,10,Low,9
Thursday,Clear,301.1,0.0,No,market,17,Medium,15
Saturday,Clear,309.89,0.0,No,residential,18,Low,17
Thursday,Fog,282.1,0.0,No,mall,18,Medium,16
Thursday,Clear,308.52,0.0,No,office,10,Medium,8
Tuesday,Clear,296.06,0.0,No,office,8,Medium,6
Tuesday,Clouds,299.58,0.12,No,market,17,Medium,15
Saturday,Clouds,297.97,0.13,No,residential,9,Low,9
Wednesday,Clouds,290.97,0.17,No,office,9,Medium,7
Thursday,Clouds,306.22,0.15,Yes,mall,21,Medium,19
Wednesday,Drizzle,292.76,1.01,No,mall,13,Medium,11
Thursday,Haze,300.86,0.0,No,office,8,Medium,6
Wednesday,Clouds,295.75,0.12,No,station,17,Medium,15
Monday,Clear,307.47,0.0,No,office,9,Medium,7
Wednesday,Rain,290.27,1.62,No,residential,9,Medium,7
Thursday,Clouds,300.94,0.07,No,station,8,Medium,6
Friday,Clear,299.18,0.0,No,mall,19,Medium,18
Sunday,Thunderstorm,289.63,1.59,No,mall,17,High,14
Friday,Clear,300.53,0.0,No,market,18,Medium,16
Friday,Haze,288.8,0.0,No,office,9,Medium,7
Friday,Clouds,295.26,0.16,No,market,11,Low,11
Wednesday,Clouds,294.79,0.08,No,station,17,Medium,15
Saturday,Rain,285.89,1.32,No,market,11,Medium,9
Friday,Clear,308.26,0.0,No,mall,12,Low,12
Saturday,Rain,300.04,2.08,No,office,10,Medium,7
Thursday,Clouds,290.48,0.19,No,office,8,Medium,6
Friday,Rain,293.03,1.91,No,office,9,High,6
Wednesday,Clear,297.31,0.0,No,office,8,Medium,5
Monday,Clear,297.77,0.0,No,office,9,Medium,6
Monday,Haze,285.26,0.0,No,market,17,Medium,15
Friday,Haze,288.85,0.0,No,office,8,Medium,6
Thursday,Clouds,297.99,0.13,No,mall,11,Low,11
Friday,Clouds,302.46,0.13,No,mall,12,Low,12
Monday,Rain,287.98,1.82,No,mall,19,Medium,16
Thursday,Fog,292.21,0.0,Yes,market,10,Medium,8
Monday,Clear,299.2,0.0,No,office,8,Medium,5
Tuesday,Clear,310.24,0.0,Yes,market,11,Low,11
Tuesday,Rain,297.64,2.02,No,market,17,Medium,14
Thursday,Rain,297.36,0.63,No,mall,18,Medium,16
Thursday,Clear,298.91,0.0,No,mall,12,Low,11
Tuesday,Clear,310.4,0.0,No,mall,21,Medium,19
Tuesday,Clear,305.75,0.0,No,station,6,Low,5
Sunday,Haze,292.01,0.0,No,office,12,Low,12
Friday,Drizzle,286.49,0.35,No,mall,20,Medium,18
Wednesday,Clear,300.34,0.0,No,market,18,Medium,16
Tuesday,Clouds,296.58,0.11,No,office,8,Medium,6
Friday,Clear,311.33,0.0,No,office,10,Medium,8
Monday,Rain,292.57,0.65,No,office,8,Medium,5
Friday,Clouds,305.15,0.17,No,market,18,Medium,16
Friday,Thunderstorm,300.47,1.47,No,mall,12,Medium,10
Thursday,Haze,286.38,0.0,No,mall,13,Low,12
Thursday,Clouds,292.13,0.06,No,market,20,Medium,17
Friday,Fog,280.81,0.0,No,mall,13,Low,12
Saturday,Clear,299.45,0.0,No,mall,18,Medium,16
Sunday,Rain,289.26,1.58,No,mall,18,High,15
Thursday,Clouds,292.87,0.19,No,residential,8,Low,8
Saturday,Clear,311.97,0.0,No,residential,7,Low,7
Friday,Haze,285.48,0.0,No,market,17,Medium,15
Friday,Rain,296.64,1.01,No,office,8,High,5
Monday,Clear,305.13,0.0,No,mall,21,Medium,20
Friday,Clear,300.41,0.0,No,market,17,Medium,15
Tuesday,Clear,294.94,0.0,No,office,9,Medium,6
Saturday,Rain,300.87,1.73,No,mall,13,Medium,11
Thursday,Rain,293.46,0.65,No,mall,21,Medium,18
Sunday,Clear,298.63,0.0,No,office,11,Low,10
Tuesday,Clouds,305.0,0.15,No,office,8,Medium,6
Monday,Clear,304.06,0.0,No,office,10,Medium,7
Friday,Haze,286.9,0.0,No,office,10,Medium,7
Wednesday,Drizzle,297.32,0.4,No,station,18,Medium,15
Monday,Rain,293.83,0.75,No,office,9,Medium,6
Wednesday,Clouds,300.48,0.17,No,residential,9,Low,8
Friday,Clouds,301.45,0.2,No,office,8,Medium,6
Thursday,Clouds,302.26,0.12,No,office,10,Medium,7
Monday,Clouds,301.91,0.04,No,residential,7,Low,6
Monday,Clouds,300.4,0.09,No,residential,19,Low,19
Friday,Thunderstorm,295.13,1.75,No,mall,19,Medium,16
Sunday,Haze,298.88,0.0,No,mall,19,Medium,17
Thursday,Clear,298.97,0.0,No,office,8,Medium,6
Friday,Haze,290.07,0.0,No,market,19,Medium,17
Tuesday,Rain,291.71,1.09,No,residential,19,Medium,17
Tuesday,Clouds,297.52,0.05,No,office,8,Medium,6
Saturday,Haze,287.2,0.0,No,office,12,Low,12
Tuesday,Haze,285.84,0.0,No,residential,10,Medium,8
Monday,Drizzle,300.67,0.36,No,market,10,Medium,7
Wednesday,Clear,305.92,0.0,No,office,9,Medium,7
Friday,Rain,287.98,2.0,No,office,8,High,5
Sunday,Clear,307.98,0.0,No,mall,21,Medium,19
Saturday,Haze,299.86,0.0,No,office,12,Low,11
Sunday,Rain,287.28,1.36,No,residential,20,Medium,18
Wednesday,Clear,296.72,0.0,No,market,19,Medium,17
Thursday,Haze,295.22,0.0,No,market,11,Low,10
Thursday,Clear,295.81,0.0,No,office,8,Medium,6
Monday,Fog,292.36,0.0,No,mall,21,Medium,19
Tuesday,Clear,295.36,0.0,No,mall,17,Medium,15
Friday,Fog,288.66,0.0,No,station,19,Medium,16
Wednesday,Clouds,297.73,0.2,No,office,8,Medium,5
Friday,Clear,297.95,0.0,No,market,20,Medium,18
Thursday,Clear,304.28,0.0,No,residential,18,Low,18
Thursday,Rain,292.51,1.66,No,office,9,High,6
Monday,Clouds,298.73,0.09,Yes,mall,11,Low,10
Friday,Clouds,303.88,0.15,No,office,8,Medium,6
Wednesday,Thunderstorm,302.89,1.14,No,market,18,Medium,15
Tuesday,Fog,292.7,0.0,No,office,8,Medium,5
Wednesday,Rain,300.42,1.14,No,station,17,High,14
Friday,Thunderstorm,293.68,1.25,No,mall,13,Medium,11
Friday,Haze,293.71,0.0,No,station,17,Medium,15
Tuesday,Clear,310.5,0.0,No,mall,18,Medium,17
Saturday,Clear,294.35,0.0,No,mall,11,Low,10
Thursday,Clear,293.88,0.0,No,market,10,Low,10
Friday,Clouds,294.92,0.16,No,market,11,Low,11
Thursday,Clear,299.04,0.0,No,market,20,Medium,18
Wednesday,Drizzle,299.2,1.11,No,office,10,High,7
Thursday,Drizzle,296.07,0.99,No,office,9,Medium,6
Wednesday,Fog,285.63,0.0,No,office,8,Medium,5
Saturday,Rain,294.56,2.15,No,office,11,Medium,9
Wednesday,Haze,299.76,0.0,No,office,9,Medium,7
Thursday,Clear,306.47,0.0,No,market,10,Low,10
Tuesday,Haze,288.47,0.0,No,market,19,Medium,17
Tuesday,Drizzle,300.43,0.32,No,station,7,Medium,4
Sunday,Clouds,294.07,0.06,No,residential,10,Low,9
Thursday,Clouds,305.01,0.09,No,mall,18,Medium,16
Friday,Clouds,297.04,0.11,No,mall,17,Medium,16
Monday,Clear,296.92,0.0,No,residential,19,Low,19
Thursday,Clear,309.43,0.0,No,residential,18,Low,17
Wednesday,Clear,307.41,0.0,No,market,12,Low,12
Thursday,Drizzle,296.02,0.96,No,market,10,Medium,8
Monday,Clouds,296.34,0.12,No,office,8,Medium,5
Friday,Clouds,290.2,0.11,No,office,10,Medium,8
Monday,Clouds,305.98,0.04,No,market,19,Medium,17
Tuesday,Rain,289.54,1.17,No,residential,17,Medium,14
Wednesday,Clear,309.56,0.0,No,office,8,Medium,6
Monday,Clear,293.19,0.0,No,mall,21,Medium,19
Saturday,Clouds,304.59,0.02,No,residential,18,Low,18
Tuesday,Rain,293.08,0.58,No,station,19,Medium,16
Saturday,Clear,310.01,0.0,Yes,residential,7,Low,7
Thursday,Rain,300.79,1.01,No,market,19,Medium,16
Friday,Fog,280.96,0.0,No,residential,19,Medium,17
Thursday,Clear,297.64,0.0,No,station,6,Low,4
Sunday,Fog,285.31,0.0,No,mall,18,Medium,15
Wednesday,Clear,305.37,0.0,No,residential,19,Low,19
Monday,Fog,283.43,0.0,No,office,8,Medium,5
Sunday,Clear,294.75,0.0,No,mall,18,Medium,15
Monday,Clear,304.96,0.0,No,office,10,Medium,7
Monday,Fog,286.83,0.0,No,mall,12,Low,11
Thursday,Clear,298.38,0.0,No,office,9,Medium,7
Monday,Clear,308.65,0.0,No,mall,20,Medium,19
Friday,Clouds,292.3,0.0,No,mall,17,Medium,15
Saturday,Clouds,304.0,0.13,No,mall,19,Medium,17
Wednesday,Clouds,293.02,0.08,No,station,7,Medium,4
Sunday,Clouds,303.88,0.08,Yes,market,12,Medium,11
Thursday,Drizzle,292.92,0.91,No,residential,7,Medium,5
Saturday,Haze,287.23,0.0,No,office,11,Low,11
Friday,Clouds,297.63,0.12,No,market,20,Medium,17
Thursday,Haze,298.0,0.0,No,market,12,Low,12
Monday,Clear,305.25,0.0,No,office,9,Medium,6
Sunday,Clear,294.97,0.0,No,mall,20,Medium,18
Wednesday,Clouds,290.42,0.02,No,mall,13,Low,13
Monday,Clouds,295.83,0.16,No,station,7,Medium,5
Wednesday,Clear,299.01,0.0,No,mall,21,Medium,20
Monday,Haze,287.63,0.0,No,mall,12,Low,12
Thursday,Clouds,306.29,0.05,No,residential,18,Low,18
Tuesday,Clear,305.28,0.0,No,residential,19,Low,18
Wednesday,Clear,307.08,0.0,No,market,11,Low,11
Friday,Clear,302.15,0.0,No,residential,18,Low,17
Thursday,Haze,294.39,0.0,No,residential,19,Medium,17
Thursday,Rain,300.62,1.5,No,market,19,Medium,16
Monday,Clouds,292.4,0.08,No,office,8,Medium,5
Wednesday,Clouds,298.32,0.03,No,mall,13,Low,12
Thursday,Clouds,293.32,0.08,No,market,10,Low,9
Wednesday,Clouds,291.41,0.01,No,mall,21,Medium,20
Monday,Clear,302.15,0.0,No,office,9,Medium,6
Thursday,Clear,303.86,0.0,No,office,8,Medium,6
Friday,Thunderstorm,288.74,2.66,No,mall,17,Medium,15
Saturday,Clouds,303.88,0.09,No,office,11,Low,11
Tuesday,Clouds,302.08,0.13,No,market,19,Medium,17
Friday,Clear,300.02,0.0,No,market,20,Medium,18
Wednesday,Clouds,306.19,0.1,No,market,12,Low,12
Monday,Rain,301.87,1.97,No,market,17,Medium,14
Tuesday,Clear,309.87,0.0,No,market,20,Medium,18
Thursday,Clouds,291.28,0.16,No,office,9,Medium,6
Thursday,Clouds,298.3,0.12,No,office,9,Medium,7
Friday,Rain,298.53,1.18,No,mall,19,Medium,17
Thursday,Clear,304.56,0.0,No,mall,18,Medium,16
Friday,Clear,305.52,0.0,No,station,6,Low,5
Monday,Clouds,306.86,0.09,No,market,17,Medium,15
Saturday,Clear,300.21,0.0,Yes,office,11,Low,11
Monday,Clouds,291.55,0.02,No,residential,10,Low,10
Monday,Clear,306.91,0.0,No,office,9,Medium,6
Friday,Clouds,302.42,0.02,No,mall,17,Medium,16
Monday,Rain,295.91,1.65,No,market,20,Medium,17
Thursday,Fog,287.79,0.0,No,office,9,Medium,6
Thursday,Clear,295.01,0.0,No,mall,17,Medium,15
Wednesday,Clear,305.89,0.0,No,mall,13,Low,13
Friday,Clear,305.14,0.0,No,residential,17,Low,16
Tuesday,Clouds,291.92,0.1,No,office,8,Medium,6
Sunday,Clouds,304.26,0.08,No,station,7,Low,7
Friday,Clear,294.35,0.0,No,station,6,Low,5
Sunday,Clouds,300.69,0.1,No,station,17,Low,16
Monday,Clear,299.2,0.0,No,residential,9,Low,9
Sunday,Clouds,300.78,0.17,No,office,11,Low,11
Tuesday,Clear,294.72,0.0,No,mall,17,Medium,15
Thursday,Clear,307.16,0.0,No,office,8,Medium,6
Thursday,Clear,295.54,0.0,No,mall,18,Medium,17
Friday,Clear,301.59,0.0,No,office,8,Medium,6
Friday,Clouds,298.68,0.01,No,residential,8,Low,8
Wednesday,Rain,296.46,0.7,No,office,8,Medium,5
Monday,Clear,300.28,0.0,No,market,11,Low,11
Sunday,Rain,297.14,1.61,No,market,18,High,15
Wednesday,Rain,294.72,0.7,No,market,12,Low,11
Tuesday,Drizzle,287.03,0.67,No,market,10,Medium,8
Wednesday,Clouds,294.96,0.16,No,residential,7,Low,7
Wednesday,Thunderstorm,300.19,2.46,No,residential,20,Medium,18
Monday,Clear,299.93,0.0,No,station,6,Low,5
Sunday,Clouds,302.55,0.06,No,office,12,Low,12
Wednesday,Fog,280.3,0.0,No,station,7,Medium,4
Friday,Clouds,298.59,0.13,No,mall,12,Low,12
Wednesday,Clear,310.02,0.0,No,station,7,Medium,4
Friday,Clouds,293.97,0.19,No,market,12,Low,12
Monday,Clear,295.41,0.0,No,office,9,Medium,7
Wednesday,Clear,309.15,0.0,No,mall,12,Low,12
Tuesday,Clear,297.96,0.0,No,market,11,Low,11
Friday,Clear,301.09,0.0,No,office,8,Medium,6
Monday,Clear,294.23,0.0,No,office,8,Medium,6
Monday,Haze,300.0,0.0,No,market,12,Low,12
Sunday,Clear,305.92,0.0,No,office,10,Low,10
Sunday,Clear,311.85,0.0,Yes,market,12,Medium,10
Saturday,Clouds,297.25,0.07,No,mall,11,Low,11
Tuesday,Haze,294.87,0.0,No,station,6,Low,4
Wednesday,Clear,300.66,0.0,No,residential,7,Low,7
Thursday,Clear,300.65,0.0,No,market,20,Medium,17
Thursday,Clouds,293.06,0.06,No,mall,19,Medium,18
Monday,Clouds,299.93,0.05,No,station,18,Medium,16
Friday,Fog,292.27,0.0,No,office,8,Medium,5
Wednesday,Clear,297.73,0.0,No,market,20,Medium,18
Sunday,Clouds,299.65,0.03,No,office,12,Low,11
Thursday,Clear,297.65,0.0,No,office,8,Medium,5
Monday,Rain,290.79,0.8,No,station,7,Medium,4
Monday,Fog,290.85,0.0,No,office,8,Medium,5
Wednesday,Clouds,295.72,0.06,No,station,17,Medium,14
Friday,Clear,307.14,0.0,No,station,19,Medium,17
Tuesday,Clouds,302.48,0.06,No,residential,9,Low,9
Sunday,Rain,298.1,1.46,No,station,17,Medium,15
Sunday,Haze,286.67,0.0,No,station,7,Medium,6
Friday,Clear,310.71,0.0,No,office,9,Medium,7
Wednesday,Haze,290.61,0.0,No,office,8,Medium,6
Monday,Drizzle,299.27,0.69,No,mall,20,Medium,17
Monday,Clear,294.47,0.0,No,mall,17,Medium,16
Monday,Clear,296.4,0.0,No,office,8,Medium,6
Thursday,Clear,312.71,0.0,No,station,6,Low,5
Wednesday,Clear,295.03,0.0,No,residential,19,Low,19
Wednesday,Haze,289.76,0.0,No,residential,17,Medium,15
Thursday,Clear,293.08,0.0,No,market,11,Low,10
Tuesday,Haze,300.63,0.0,No,office,8,Medium,6
Tuesday,Rain,289.51,1.59,No,mall,21,Medium,19
Saturday,Clear,301.79,0.0,No,mall,21,Medium,19
Thursday,Clear,299.88,0.0,No,office,8,Medium,6
Thursday,Clouds,306.42,0.14,No,market,20,Medium,18
Wednesday,Clouds,305.31,0.16,No,office,8,Medium,6
Monday,Drizzle,288.51,0.41,No,market,11,Low,10
Wednesday,Clear,309.45,0.0,No,station,17,Medium,15
Tuesday,Clear,300.76,0.0,No,market,20,Medium,18
Saturday,Fog,287.72,0.0,No,mall,11,Low,9
Monday,Clouds,302.89,0.19,No,office,10,Medium,8
Friday,Rain,289.49,1.61,No,market,12,Medium,9
Monday,Haze,295.89,0.0,No,office,8,Medium,5
Saturday,Clear,302.5,0.0,No,mall,17,Medium,15
Monday,Clear,309.86,0.0,No,market,12,Low,12
Sunday,Drizzle,292.65,1.03,No,office,11,Medium,8
Thursday,Clear,309.48,0.0,No,office,9,Medium,7
Saturday,Clear,307.19,0.0,No,mall,13,Medium,12
Tuesday,Rain,289.24,1.28,No,market,11,Medium,9
Tuesday,Clouds,305.69,0.14,No,market,18,Medium,15
Thursday,Clouds,295.95,0.03,No,office,9,Medium,7
Tuesday,Rain,298.26,0.86,No,mall,13,Low,12
Friday,Clouds,304.7,0.19,No,office,9,Medium,6
Sunday,Clear,305.17,0.0,No,residential,7,Low,7
Wednesday,Clouds,293.71,0.06,No,mall,19,Medium,17
Thursday,Clouds,300.09,0.06,No,office,9,Medium,6
Monday,Clear,298.54,0.0,No,station,19,Medium,17
Tuesday,Rain,298.69,1.86,No,mall,17,Medium,15
Friday,Clouds,295.03,0.18,No,market,19,Medium,17
Thursday,Clouds,302.13,0.14,No,station,7,Medium,4
Sunday,Rain,299.29,1.99,No,residential,17,Medium,15
Wednesday,Rain,297.97,0.81,No,market,19,Medium,16
Friday,Fog,283.3,0.0,No,office,8,Medium,5
Wednesday,Rain,293.0,1.97,No,residential,20,Medium,18
Wednesday,Rain,291.49,1.01,Yes,office,8,High,5
Monday,Thunderstorm,302.18,2.97,No,office,9,High,6
Friday,Clear,294.16,0.0,No,mall,13,Low,13
Friday,Clouds,302.98,0.02,No,office,8,Medium,5
Wednesday,Clear,303.68,0.0,No,station,17,Medium,15
Saturday,Clear,306.53,0.0,No,market,18,Medium,16
Tuesday,Clear,300.67,0.0,No,market,12,Low,12
Monday,Clouds,298.84,0.1,No,office,9,Medium,7
Wednesday,Fog,281.31,0.0,No,station,8,Medium,5
Monday,Clear,293.44,0.0,No,office,8,Medium,6
Wednesday,Clouds,300.89,0.15,No,residential,7,Low,7
Friday,Clear,295.32,0.0,No,residential,7,Low,7
Thursday,Clear,306.71,0.0,Yes,mall,13,Medium,11
Friday,Haze,296.21,0.0,No,residential,17,Medium,16
Thursday,Clear,295.13,0.0,No,residential,17,Low,17
Friday,Clouds,296.97,0.03,No,market,11,Low,11
Friday,Clear,306.43,0.0,No,mall,17,Medium,15
Monday,Clear,307.47,0.0,No,office,10,Medium,8
Wednesday,Clouds,291.7,0.03,Yes,station,8,Medium,6
Wednesday,Fog,280.33,0.0,No,residential,19,Medium,17
Monday,Clear,310.89,0.0,No,office,8,Medium,6
Saturday,Clear,301.02,0.0,No,office,11,Low,11
