hour,day_of_week,weather_main,temp,rain_1h,holiday,traffic_level
22,3,Clouds,291.36,0.0,,Low
23,3,Clouds,291.12,0.0,,Low
0,4,Clouds,290.63,0.0,,Low
1,4,Clouds,290.46,0.0,,Low
3,4,Clear,289.26,0.0,,Low
5,4,Clouds,283.21,0.0,,Medium
6,4,Clouds,282.24,0.0,,High
7,4,Clouds,281.69,0.0,,High
8,4,Clouds,280.57,0.0,,High
9,4,Clouds,280.02,0.0,,High
10,4,Clouds,280.11,0.0,,High
11,4,Clouds,280.0,0.0,,High
12,4,Clouds,280.53,0.0,,High
13,4,Clouds,281.43,0.0,,High
14,4,Clouds,281.78,0.0,,High
15,4,Clouds,281.91,0.0,,High
16,4,Clouds,281.73,0.0,,High
17,4,Clouds,281.42,0.0,,High
18,4,Clouds,280.87,0.0,,High
19,4,Clouds,280.15,0.0,,High
20,4,Clouds,279.78,0.0,,Medium
21,4,Clouds,279.65,0.0,,Medium
22,4,Clouds,279.22,0.0,,Medium
23,4,Clouds,279.06,0.0,,Low
0,5,Clouds,278.81,0.0,,Low
1,5,Clouds,278.55,0.0,,Low
2,5,Clouds,278.59,0.0,,Low
4,5,Clouds,276.99,0.0,,Low
5,5,Clouds,276.35,0.0,,Low
6,5,Clear,275.4,0.0,,Low
7,5,Clear,275.17,0.0,,Medium
8,5,Clear,274.99,0.0,,Medium
9,5,Clouds,275.09,0.0,,High
10,5,Clouds,276.88,0.0,,High
11,5,Clouds,278.04,0.0,,High
12,5,Clouds,279.08,0.0,,High
13,5,Clouds,280.12,0.0,,High
14,5,Clouds,280.25,0.0,,High
15,5,Clouds,280.0,0.0,,High
16,5,Clouds,279.06,0.0,,High
17,5,Clouds,278.91,0.0,,High
18,5,Clouds,278.39,0.0,,High
19,5,Clouds,278.16,0.0,,Medium
20,5,Clouds,278.16,0.0,,Medium
21,5,Clouds,277.93,0.0,,Medium
22,5,Clouds,276.9,0.0,,Medium
23,5,Clouds,276.34,0.0,,Low
0,6,Clouds,276.11,0.0,,Low
3,6,Clouds,275.73,0.0,,Low
4,6,Clouds,275.65,0.0,,Low
5,6,Clouds,275.51,0.0,,Low
6,6,Clouds,275.05,0.0,,Low
7,6,Clouds,274.77,0.0,,Low
8,6,Clouds,274.77,0.0,,Medium
9,6,Clouds,275.55,0.0,,High
10,6,Clouds,276.24,0.0,,High
11,6,Clouds,277.01,0.0,,High
12,6,Clouds,277.43,0.0,,High
13,6,Clouds,278.45,0.0,,High
14,6,Clouds,279.27,0.0,,High
15,6,Clouds,279.27,0.0,,High
16,6,Clouds,279.44,0.0,,High
17,6,Clouds,279.32,0.0,,Medium
18,6,Clouds,279.27,0.0,,High
19,6,Clouds,278.11,0.0,,Medium
20,6,Clouds,276.79,0.0,,Medium
21,6,Clouds,275.73,0.0,,Medium
22,6,Clouds,274.88,0.0,,Low
23,6,Clouds,273.92,0.0,,Low
0,0,Clouds,273.08,0.0,Columbus Day,Low
1,0,Clouds,272.62,0.0,,Low
2,0,Clear,271.78,0.0,,Low
3,0,Clear,271.05,0.0,,Low
4,0,Clear,270.63,0.0,,Low
5,0,Clear,270.33,0.0,,Medium
6,0,Clouds,269.61,0.0,,High
7,0,Clouds,270.01,0.0,,High
8,0,Clouds,271.23,0.0,,High
9,0,Clouds,273.71,0.0,,High
10,0,Clouds,276.77,0.0,,High
11,0,Clouds,279.47,0.0,,High
12,0,Clear,279.84,0.0,,High
13,0,Clouds,282.34,0.0,,High
14,0,Clouds,282.94,0.0,,High
15,0,Clear,283.48,0.0,,High
16,0,Clear,284.33,0.0,,High
17,0,Clouds,284.48,0.0,,High
18,0,Clouds,284.23,0.0,,High
19,0,Clouds,281.99,0.0,,Medium
20,0,Clear,279.81,0.0,,Medium
21,0,Clear,279.35,0.0,,Medium
22,0,Clear,278.9,0.0,,Low
23,0,Clear,278.46,0.0,,Low
0,1,Clear,277.78,0.0,,Low
1,1,Clear,277.27,0.0,,Low
2,1,Clear,277.47,0.0,,Low
4,1,Clouds,276.97,0.0,,Low
5,1,Clouds,276.52,0.0,,Medium
6,1,Clouds,276.6,0.0,,High
7,1,Clouds,277.31,0.0,,High
8,1,Clouds,278.38,0.0,,High
9,1,Clouds,279.35,0.0,,High
10,1,Clouds,281.37,0.0,,High
11,1,Clouds,283.11,0.0,,High
12,1,Clouds,284.08,0.0,,High
13,1,Clouds,285.14,0.0,,High
14,1,Clouds,286.35,0.0,,High
15,1,Rain,287.23,0.0,,High
16,1,Clouds,288.53,0.0,,High
17,1,Clouds,290.37,0.0,,High
18,1,Clouds,290.13,0.0,,High
19,1,Clouds,288.86,0.0,,Medium
20,1,Clouds,287.36,0.0,,Medium
21,1,Clouds,285.11,0.0,,Medium
22,1,Clouds,283.46,0.0,,Low
23,1,Clouds,282.45,0.0,,Low
0,2,Clouds,281.88,0.0,,Low
1,2,Clouds,281.78,0.0,,Low
2,2,Clouds,281.09,0.0,,Low
3,2,Clouds,281.17,0.0,,Low
6,2,Clear,281.25,0.0,,High
7,2,Rain,281.25,0.0,,High
7,2,Drizzle,281.25,0.0,,High
8,2,Rain,280.1,0.0,,High
8,2,Drizzle,280.1,0.0,,High
9,2,Rain,279.61,0.0,,High
9,2,Drizzle,279.61,0.0,,High
10,2,Clear,279.67,0.0,,High
11,2,Clear,280.19,0.0,,High
12,2,Clouds,282.09,0.0,,High
13,2,Clouds,282.26,0.0,,High
14,2,Clouds,282.05,0.0,,High
15,2,Clouds,281.59,0.0,,High
16,2,Clear,281.23,0.0,,High
18,2,Clear,282.6,0.0,,High
19,2,Clear,282.6,0.0,,Medium
20,2,Clear,282.6,0.0,,Medium
21,2,Clear,282.6,0.0,,Medium
22,2,Clear,282.6,0.0,,Low
23,2,Clear,282.6,0.0,,Low
1,3,Clear,273.9,0.0,,Low
3,3,Clouds,274.4,0.0,,Low
4,3,Clouds,274.05,0.0,,Low
5,3,Clouds,273.71,0.0,,Medium
6,3,Clear,272.66,0.0,,High
7,3,Clear,272.65,0.0,,High
8,3,Clear,272.52,0.0,,High
9,3,Clouds,275.19,0.0,,High
10,3,Clear,275.34,0.0,,High
14,3,Clear,284.1,0.0,,High
15,3,Clear,284.1,0.0,,High
16,3,Clouds,283.78,0.0,,High
17,3,Clouds,283.52,0.0,,High
18,3,Clouds,283.32,0.0,,High
19,3,Clouds,282.06,0.0,,Medium
20,3,Clouds,281.95,0.0,,Medium
21,3,Clouds,281.81,0.0,,Medium
22,3,Clouds,282.16,0.0,,Medium
23,3,Clouds,282.53,0.0,,Low
0,4,Clouds,283.91,0.0,,Low
1,4,Clouds,284.64,0.0,,Low
2,4,Clouds,284.61,0.0,,Low
3,4,Drizzle,283.18,0.0,,Low
4,4,Rain,282.26,0.0,,Low
5,4,Drizzle,280.77,0.0,,Medium
6,4,Clouds,278.53,0.0,,High
7,4,Clouds,277.64,0.0,,High
8,4,Clouds,277.9,0.0,,High
9,4,Clouds,278.18,0.0,,High
10,4,Clouds,279.29,0.0,,High
11,4,Clouds,280.45,0.0,,High
12,4,Clouds,280.95,0.0,,High
13,4,Clouds,281.74,0.0,,High
14,4,Clouds,281.84,0.0,,High
15,4,Clouds,282.45,0.0,,High
16,4,Clouds,282.2,0.0,,High
17,4,Clouds,281.54,0.0,,High
18,4,Clouds,280.21,0.0,,High
23,4,Clear,282.2,0.0,,Low
0,5,Clear,272.58,0.0,,Low
1,5,Clear,272.06,0.0,,Low
2,5,Clear,270.99,0.0,,Low
3,5,Clouds,270.29,0.0,,Low
4,5,Clear,269.48,0.0,,Low
5,5,Clear,269.27,0.0,,Low
6,5,Clear,268.91,0.0,,Low
7,5,Clouds,268.98,0.0,,Medium
8,5,Clouds,269.23,0.0,,Medium
9,5,Clouds,272.61,0.0,,High
10,5,Clouds,276.78,0.0,,High
11,5,Clear,279.22,0.0,,High
12,5,Clear,280.35,0.0,,High
13,5,Clear,281.81,0.0,,High
14,5,Clear,283.05,0.0,,High
15,5,Clear,283.96,0.0,,High
16,5,Clear,284.53,0.0,,High
17,5,Clear,284.44,0.0,,High
18,5,Clear,283.64,0.0,,High
19,5,Clouds,281.85,0.0,,Medium
20,5,Clear,281.38,0.0,,Medium
21,5,Clouds,281.84,0.0,,Medium
22,5,Clouds,282.23,0.0,,Medium
23,5,Clouds,282.18,0.0,,Low
0,6,Clouds,282.49,0.0,,Low
1,6,Clouds,282.54,0.0,,Low
2,6,Clouds,282.58,0.0,,Low
3,6,Clouds,282.23,0.0,,Low
4,6,Clouds,282.08,0.0,,Low
5,6,Clouds,282.23,0.0,,Low
6,6,Clouds,282.24,0.0,,Low
7,6,Clouds,282.24,0.0,,Low
8,6,Mist,282.24,0.0,,Low
9,6,Drizzle,282.43,0.0,,Medium
9,6,Mist,282.43,0.0,,Medium
9,6,Haze,282.43,0.0,,Medium
10,6,Drizzle,282.33,0.0,,Medium
10,6,Mist,282.33,0.0,,Medium
11,6,Drizzle,282.82,0.0,,Medium
11,6,Mist,282.82,0.0,,Medium
12,6,Mist,283.33,0.0,,High
12,6,Rain,283.33,0.0,,High
12,6,Drizzle,283.33,0.0,,High
13,6,Rain,283.75,0.0,,High
13,6,Mist,283.75,0.0,,High
13,6,Drizzle,283.75,0.0,,High
14,6,Mist,284.09,0.0,,High
14,6,Rain,284.09,0.0,,High
14,6,Drizzle,284.09,0.0,,High
15,6,Mist,284.55,0.0,,High
15,6,Rain,284.55,0.0,,High
16,6,Mist,284.68,0.0,,High
17,6,Rain,284.64,0.0,,High
17,6,Mist,284.64,0.0,,High
18,6,Mist,284.4,0.0,,High
19,6,Mist,284.17,0.0,,Medium
20,6,Mist,284.03,0.0,,Medium
21,6,Mist,283.58,0.0,,Medium
22,6,Mist,283.04,0.0,,Low
23,6,Mist,281.95,0.0,,Low
23,6,Fog,281.95,0.0,,Low
0,0,Mist,281.61,0.0,,Low
0,0,Fog,281.61,0.0,,Low
1,0,Fog,281.57,0.0,,Low
2,0,Fog,281.42,0.0,,Low
3,0,Mist,281.29,0.0,,Low
3,0,Fog,281.29,0.0,,Low
4,0,Mist,281.02,0.0,,Low
4,0,Fog,281.02,0.0,,Low
5,0,Mist,280.82,0.0,,Medium
5,0,Fog,280.82,0.0,,Medium
6,0,Mist,280.39,0.0,,High
7,0,Mist,280.19,0.0,,High
8,0,Mist,279.82,0.0,,High
9,0,Mist,279.75,0.0,,High
10,0,Mist,280.07,0.0,,High
11,0,Clouds,280.32,0.0,,High
12,0,Clear,281.72,0.0,,High
13,0,Clouds,284.01,0.0,,High
14,0,Clear,285.88,0.0,,High
15,0,Clear,286.87,0.0,,High
16,0,Clouds,287.6,0.0,,High
17,0,Clouds,287.27,0.0,,High
18,0,Clouds,286.18,0.0,,High
19,0,Clouds,285.2,0.0,,Medium
20,0,Clouds,284.68,0.0,,Medium
21,0,Clouds,284.49,0.0,,Medium
22,0,Clouds,283.54,0.0,,Low
23,0,Clouds,282.33,0.0,,Low
0,1,Clouds,281.21,0.0,,Low
1,1,Clear,279.87,0.0,,Low
2,1,Clear,278.93,0.0,,Low
3,1,Clear,277.91,0.0,,Low
4,1,Clear,277.21,0.0,,Low
5,1,Clear,276.61,0.0,,Medium
6,1,Clear,276.11,0.0,,High
7,1,Clouds,274.81,0.0,,High
8,1,Clouds,274.99,0.0,,High
9,1,Clouds,277.91,0.0,,High
10,1,Clouds,280.71,0.0,,High
11,1,Clouds,283.85,0.0,,High
12,1,Clouds,286.01,0.0,,High
13,1,Clear,286.31,0.0,,High
14,1,Clouds,288.15,0.0,,High
15,1,Clouds,289.15,0.0,,High
16,1,Clouds,288.99,0.0,,High
17,1,Clouds,288.86,0.0,,High
18,1,Clouds,288.16,0.0,,High
19,1,Rain,287.28,0.0,,Medium
20,1,Clouds,287.04,0.0,,Medium
21,1,Clouds,286.9,0.0,,Medium
22,1,Clouds,287.09,0.0,,Low
23,1,Clouds,287.09,0.0,,Low
0,2,Clouds,286.89,0.0,,Low
1,2,Clouds,286.93,0.0,,Low
2,2,Clouds,286.93,0.0,,Low
3,2,Clouds,287.07,0.0,,Low
4,2,Clouds,286.56,0.0,,Low
5,2,Clouds,285.91,0.0,,Medium
6,2,Clouds,285.29,0.0,,High
7,2,Clouds,284.92,0.0,,High
8,2,Clouds,285.35,0.0,,High
9,2,Rain,285.72,0.0,,High
9,2,Rain,285.72,0.0,,High
10,2,Clouds,287.09,0.0,,High
11,2,Clouds,288.31,0.0,,High
12,2,Clear,288.61,0.0,,High
13,2,Clear,290.32,0.0,,High
14,2,Clear,291.36,0.0,,High
15,2,Clear,292.01,0.0,,High
16,2,Clear,292.61,0.0,,High
17,2,Clear,292.65,0.0,,High
18,2,Clouds,290.52,0.0,,High
19,2,Clouds,288.35,0.0,,Medium
20,2,Clouds,286.72,0.0,,Medium
21,2,Clouds,285.49,0.0,,Medium
22,2,Clouds,284.22,0.0,,Low
23,2,Clouds,283.8,0.0,,Low
0,3,Clouds,283.72,0.0,,Low
1,3,Clouds,282.8,0.0,,Low
2,3,Mist,282.32,0.0,,Low
3,3,Mist,282.38,0.0,,Low
4,3,Clouds,282.76,0.0,,Low
5,3,Mist,282.88,0.0,,Medium
6,3,Clouds,284.18,0.0,,High
7,3,Clouds,284.69,0.0,,High
8,3,Clouds,285.0,0.0,,High
9,3,Rain,286.9,0.0,,High
10,3,Clouds,288.35,0.0,,High
11,3,Clouds,289.59,0.0,,High
12,3,Rain,288.27,0.0,,High
13,3,Clouds,286.41,0.0,,High
14,3,Clouds,285.96,0.0,,High
15,3,Clouds,287.04,0.0,,High
16,3,Clouds,287.18,0.0,,High
17,3,Clouds,286.94,0.0,,High
18,3,Clouds,286.01,0.0,,High
19,3,Drizzle,284.67,0.0,,Medium
20,3,Rain,283.44,0.0,,Medium
21,3,Drizzle,282.51,0.0,,Medium
22,3,Clouds,281.9,0.0,,Medium
23,3,Clouds,281.85,0.0,,Low
0,4,Clouds,281.28,0.0,,Low
1,4,Mist,280.97,0.0,,Low
2,4,Drizzle,280.44,0.0,,Low
2,4,Mist,280.44,0.0,,Low
3,4,Mist,280.02,0.0,,Low
4,4,Drizzle,279.79,0.0,,Low
4,4,Mist,279.79,0.0,,Low
4,4,Rain,279.79,0.0,,Low
4,4,Drizzle,279.79,0.0,,Low
5,4,Mist,279.74,0.0,,Medium
5,4,Rain,279.74,0.0,,Medium
6,4,Drizzle,279.65,0.0,,High
6,4,Mist,279.65,0.0,,High
6,4,Rain,279.65,0.0,,High
7,4,Mist,279.45,0.0,,High
7,4,Rain,279.45,0.0,,High
8,4,Drizzle,279.22,0.0,,High
8,4,Mist,279.22,0.0,,High
8,4,Rain,279.22,0.0,,High
9,4,Rain,279.35,0.0,,High
9,4,Mist,279.35,0.0,,High
10,4,Mist,279.92,0.0,,High
11,4,Clouds,280.44,0.0,,High
12,4,Clouds,281.0,0.0,,High
13,4,Clouds,281.51,0.0,,High
14,4,Mist,281.93,0.0,,High
15,4,Mist,281.94,0.0,,High
15,4,Drizzle,281.94,0.0,,High
16,4,Rain,282.27,0.0,,High
17,4,Rain,282.41,0.0,,High
18,4,Clouds,282.21,0.0,,High
19,4,Clouds,281.69,0.0,,Medium
20,4,Clouds,281.26,0.0,,Medium
21,4,Mist,280.66,0.0,,Medium
22,4,Drizzle,280.43,0.0,,Medium
22,4,Drizzle,280.43,0.0,,Medium
23,4,Mist,280.1,0.0,,Medium
23,4,Rain,280.1,0.0,,Medium
23,4,Drizzle,280.1,0.0,,Medium
0,5,Rain,280.06,0.0,,Low
0,5,Rain,280.06,0.0,,Low
1,5,Drizzle,280.28,0.0,,Low
1,5,Rain,280.28,0.0,,Low
2,5,Drizzle,280.38,0.0,,Low
3,5,Drizzle,280.62,0.0,,Low
3,5,Mist,280.62,0.0,,Low
4,5,Mist,280.91,0.0,,Low
4,5,Drizzle,280.91,0.0,,Low
4,5,Rain,280.91,0.0,,Low
5,5,Rain,280.96,0.0,,Low
5,5,Mist,280.96,0.0,,Low
5,5,Drizzle,280.96,0.0,,Low
6,5,Rain,281.13,0.0,,Low
6,5,Mist,281.13,0.0,,Low
6,5,Drizzle,281.13,0.0,,Low
7,5,Rain,281.28,0.0,,Low
7,5,Mist,281.28,0.0,,Low
7,5,Drizzle,281.28,0.0,,Low
8,5,Rain,281.19,0.0,,Medium
8,5,Mist,281.19,0.0,,Medium
8,5,Drizzle,281.19,0.0,,Medium
9,5,Rain,281.7,0.0,,Medium
9,5,Drizzle,281.7,0.0,,Medium
9,5,Mist,281.7,0.0,,Medium
9,5,Drizzle,281.7,0.0,,Medium
10,5,Rain,282.02,0.0,,Medium
10,5,Drizzle,282.02,0.0,,Medium
10,5,Mist,282.02,0.0,,Medium
10,5,Rain,282.02,0.0,,Medium
11,5,Rain,282.35,0.0,,High
11,5,Mist,282.35,0.0,,High
11,5,Drizzle,282.35,0.0,,High
12,5,Rain,282.71,0.0,,High
12,5,Mist,282.71,0.0,,High
12,5,Rain,282.71,0.0,,High
12,5,Rain,282.71,0.0,,High
13,5,Rain,283.31,0.0,,High
14,5,Clouds,283.79,0.0,,High
15,5,Clouds,284.2,0.0,,High
16,5,Clouds,284.32,0.0,,High
17,5,Clouds,284.13,0.0,,High
18,5,Clouds,283.14,0.0,,High
19,5,Clouds,281.4,0.0,,Medium
20,5,Clouds,280.47,0.0,,Medium
21,5,Clouds,279.52,0.0,,Medium
22,5,Mist,278.85,0.0,,Medium
23,5,Fog,278.12,0.0,,Medium
0,6,Mist,277.94,0.0,,Low
8,6,Fog,275.93,0.0,,Low
8,6,Mist,275.93,0.0,,Low
17,6,Clouds,284.09,0.0,,High
18,6,Clouds,282.6,0.0,,High
22,6,Clouds,281.72,0.0,,Low
23,6,Clouds,281.26,0.0,,Low
0,0,Clouds,281.29,0.0,,Low
1,0,Clouds,281.01,0.0,,Low
2,0,Clouds,280.57,0.0,,Low
3,0,Clouds,280.54,0.0,,Low
4,0,Mist,279.37,0.0,,Low
5,0,Mist,279.18,0.0,,Medium
6,0,Mist,279.05,0.0,,High
10,0,Clear,282.7,0.0,,High
11,0,Clouds,286.17,0.0,,High
12,0,Clouds,288.61,0.0,,High
13,0,Clouds,290.59,0.0,,High
14,0,Clouds,292.21,0.0,,High
15,0,Clouds,293.56,0.0,,High
16,0,Clouds,293.43,0.0,,High
17,0,Clouds,293.4,0.0,,High
18,0,Clouds,291.47,0.0,,High
19,0,Clouds,289.17,0.0,,Medium
20,0,Clear,287.28,0.0,,Medium
21,0,Clear,286.1,0.0,,Low
22,0,Clouds,285.45,0.0,,Low
23,0,Clouds,285.33,0.0,,Low
0,1,Clouds,285.07,0.0,,Low
1,1,Clouds,284.58,0.0,,Low
2,1,Clouds,283.88,0.0,,Low
3,1,Clouds,283.55,0.0,,Low
4,1,Clouds,282.85,0.0,,Low
5,1,Clouds,282.42,0.0,,Medium
6,1,Clouds,282.13,0.0,,High
7,1,Clouds,281.85,0.0,,High
8,1,Clouds,281.85,0.0,,High
9,1,Clouds,283.07,0.0,,High
10,1,Clouds,284.53,0.0,,High
11,1,Clouds,285.6,0.0,,High
12,1,Clouds,286.63,0.0,,High
13,1,Rain,286.75,0.0,,High
14,1,Clouds,287.97,0.0,,High
15,1,Thunderstorm,288.54,0.0,,High
16,1,Clouds,288.72,0.0,,High
17,1,Clouds,288.53,0.0,,High
18,1,Clouds,288.16,0.0,,High
19,1,Clouds,287.59,0.0,,Medium
20,1,Clouds,287.21,0.0,,Medium
21,1,Clouds,286.29,0.0,,Medium
22,1,Clouds,285.7,0.0,,Low
23,1,Clouds,285.61,0.0,,Low
0,2,Drizzle,285.37,0.0,,Low
0,2,Mist,285.37,0.0,,Low
1,2,Clouds,285.51,0.0,,Low
2,2,Haze,285.6,0.0,,Low
3,2,Mist,285.99,0.0,,Low
3,2,Haze,285.99,0.0,,Low
4,2,Mist,285.94,0.0,,Low
4,2,Thunderstorm,285.94,0.0,,Low
5,2,Mist,285.97,0.0,,Medium
5,2,Rain,285.97,0.0,,Medium
5,2,Thunderstorm,285.97,0.0,,Medium
6,2,Mist,285.73,0.0,,High
6,2,Thunderstorm,285.73,0.0,,High
6,2,Rain,285.73,0.0,,High
6,2,Thunderstorm,285.73,0.0,,High
7,2,Rain,285.5,0.0,,High
7,2,Mist,285.5,0.0,,High
8,2,Drizzle,285.55,0.0,,High
8,2,Mist,285.55,0.0,,High
8,2,Rain,285.55,0.0,,High
8,2,Thunderstorm,285.55,0.0,,High
9,2,Drizzle,285.93,0.0,,High
9,2,Mist,285.93,0.0,,High
9,2,Rain,285.93,0.0,,High
10,2,Mist,286.34,0.0,,High
11,2,Mist,286.82,0.0,,High
11,2,Fog,286.82,0.0,,High
12,2,Mist,288.36,0.0,,High
12,2,Haze,288.36,0.0,,High
12,2,Fog,288.36,0.0,,High
13,2,Haze,289.08,0.0,,High
13,2,Mist,289.08,0.0,,High
13,2,Fog,289.08,0.0,,High
14,2,Mist,289.88,0.0,,High
14,2,Haze,289.88,0.0,,High
15,2,Mist,290.24,0.0,,High
15,2,Haze,290.24,0.0,,High
15,2,Rain,290.24,0.0,,High
16,2,Mist,290.01,0.0,,High
17,2,Haze,289.62,0.0,,High
17,2,Mist,289.62,0.0,,High
18,2,Haze,289.61,0.0,,High
18,2,Mist,289.61,0.0,,High
19,2,Mist,289.06,0.0,,Medium
20,2,Haze,288.34,0.0,,Medium
20,2,Mist,288.34,0.0,,Medium
21,2,Mist,287.06,0.0,,Medium
22,2,Mist,287.41,0.0,,Low
23,2,Mist,287.52,0.0,,Low
0,3,Mist,287.81,0.0,,Low
1,3,Mist,287.29,0.0,,Low
2,3,Mist,287.23,0.0,,Low
3,3,Mist,286.44,0.0,,Low
4,3,Mist,285.32,0.0,,Low
4,3,Fog,285.32,0.0,,Low
5,3,Mist,285.43,0.0,,Medium
6,3,Mist,285.53,0.0,,High
7,3,Mist,285.2,0.0,,High
7,3,Fog,285.2,0.0,,High
8,3,Mist,285.02,0.0,,High
10,3,Mist,286.43,0.0,,High
11,3,Mist,287.36,0.0,,High
12,3,Mist,287.6,0.0,,High
13,3,Clouds,287.29,0.0,,High
14,3,Rain,286.41,0.0,,High
14,3,Mist,286.41,0.0,,High
14,3,Drizzle,286.41,0.0,,High
14,3,Drizzle,286.41,0.0,,High
15,3,Drizzle,285.8,0.0,,High
15,3,Mist,285.8,0.0,,High
15,3,Rain,285.8,0.0,,High
15,3,Drizzle,285.8,0.0,,High
15,3,Rain,285.8,0.0,,High
16,3,Rain,285.29,0.0,,High
16,3,Mist,285.29,0.0,,High
16,3,Drizzle,285.29,0.0,,High
17,3,Rain,284.77,0.0,,High
17,3,Mist,284.77,0.0,,High
17,3,Rain,284.77,0.0,,High
18,3,Drizzle,284.29,0.0,,High
18,3,Mist,284.29,0.0,,High
18,3,Rain,284.29,0.0,,High
18,3,Rain,284.29,0.0,,High
19,3,Drizzle,283.79,0.0,,Medium
19,3,Mist,283.79,0.0,,Medium
19,3,Rain,283.79,0.0,,Medium
20,3,Rain,283.44,0.0,,Medium
20,3,Mist,283.44,0.0,,Medium
20,3,Drizzle,283.44,0.0,,Medium
21,3,Rain,283.22,0.0,,Medium
21,3,Mist,283.22,0.0,,Medium
21,3,Drizzle,283.22,0.0,,Medium
22,3,Clouds,282.82,0.0,,Low
23,3,Clouds,282.13,0.0,,Low
0,4,Rain,281.05,0.0,,Low
0,4,Rain,281.05,0.0,,Low
0,4,Drizzle,281.05,0.0,,Low
1,4,Drizzle,280.44,0.0,,Low
1,4,Rain,280.44,0.0,,Low
2,4,Rain,280.07,0.0,,Low
2,4,Mist,280.07,0.0,,Low
2,4,Drizzle,280.07,0.0,,Low
3,4,Rain,279.54,0.0,,Low
3,4,Mist,279.54,0.0,,Low
3,4,Drizzle,279.54,0.0,,Low
3,4,Drizzle,279.54,0.0,,Low
4,4,Rain,278.93,0.0,,Low
4,4,Mist,278.93,0.0,,Low
4,4,Rain,278.93,0.0,,Low
4,4,Drizzle,278.93,0.0,,Low
4,4,Drizzle,278.93,0.0,,Low
5,4,Rain,278.27,0.0,,Medium
5,4,Mist,278.27,0.0,,Medium
5,4,Rain,278.27,0.0,,Medium
5,4,Thunderstorm,278.27,0.0,,Medium
6,4,Rain,278.07,0.0,,High
6,4,Mist,278.07,0.0,,High
6,4,Rain,278.07,0.0,,High
7,4,Rain,277.53,0.0,,High
7,4,Rain,277.53,0.0,,High
8,4,Rain,276.23,0.0,,High
8,4,Mist,276.23,0.0,,High
8,4,Rain,276.23,0.0,,High
9,4,Rain,275.66,0.0,,High
9,4,Mist,275.66,0.0,,High
9,4,Snow,275.66,0.0,,High
10,4,Rain,275.02,0.0,,High
10,4,Mist,275.02,0.0,,High
10,4,Rain,275.02,0.0,,High
10,4,Snow,275.02,0.0,,High
11,4,Rain,275.03,0.0,,High
11,4,Snow,275.03,0.0,,High
11,4,Mist,275.03,0.0,,High
11,4,Rain,275.03,0.0,,High
12,4,Mist,274.5,0.0,,High
12,4,Snow,274.5,0.0,,High
13,4,Snow,275.01,0.0,,High
14,4,Snow,275.38,0.0,,High
14,4,Mist,275.38,0.0,,High
15,4,Snow,275.85,0.0,,High
16,4,Clouds,276.56,0.0,,High
17,4,Clouds,276.7,0.0,,High
18,4,Clouds,276.71,0.0,,High
19,4,Clouds,276.43,0.0,,High
20,4,Clouds,276.23,0.0,,Medium
21,4,Clouds,275.99,0.0,,Medium
22,4,Clouds,276.28,0.0,,Medium
23,4,Clouds,276.28,0.0,,Low
