area_type,hour,day_of_week,holiday,traffic_level,parking_availability
office,12,Monday,No,Low,High
office,2,Sunday,No,Low,High
mall,1,Monday,No,Low,High
office,2,Monday,No,Low,High
mall,7,Sunday,No,Medium,Low
office,17,Friday,No,Medium,Low
station,12,Friday,No,Low,High
office,23,Friday,No,Low,High
market,2,Wednesday,No,Low,High
mall,2,Tuesday,Yes,Low,High
market,2,Thursday,No,Low,High
residential,10,Thursday,No,Low,High
office,2,Monday,No,Low,High
market,12,Wednesday,No,Low,Medium
residential,22,Saturday,No,Low,High
residential,4,Sunday,No,Low,High
market,20,Tuesday,No,Medium,Low
mall,7,Monday,No,Medium,Low
residential,14,Saturday,No,Low,High
market,20,Sunday,No,Medium,Low
mall,1,Saturday,No,Low,High
mall,18,Tuesday,No,Medium,Medium
residential,8,Sunday,No,Low,High
station,19,Wednesday,No,High,Low
station,12,Tuesday,No,Low,Medium
market,7,Saturday,No,Low,High
office,20,Wednesday,No,Medium,Low
station,22,Thursday,No,Low,High
market,3,Thursday,No,Low,High
office,3,Friday,No,Low,High
office,15,Friday,No,Low,High
market,6,Friday,No,Low,Medium
station,13,Thursday,No,Low,Medium
residential,21,Tuesday,No,Medium,Low
office,10,Monday,No,Medium,Low
station,7,Wednesday,No,Medium,Low
market,15,Thursday,No,Low,High
residential,5,Thursday,No,Low,High
residential,20,Sunday,No,Low,Medium
market,0,Tuesday,No,Low,High
market,4,Sunday,No,Low,Medium
mall,12,Monday,No,Low,High
residential,3,Tuesday,No,Low,High
residential,23,Wednesday,No,Low,High
office,10,Thursday,No,Medium,Low
market,20,Saturday,No,Medium,Low
residential,2,Monday,No,Low,High
station,9,Saturday,No,Low,Low
residential,22,Monday,No,Low,High
office,0,Monday,No,Low,High
station,13,Sunday,Yes,Medium,Medium
market,11,Tuesday,Yes,Medium,Medium
market,17,Monday,No,Medium,Medium
office,3,Friday,No,Low,High
station,13,Wednesday,No,Medium,Medium
residential,15,Sunday,No,Low,High
residential,1,Wednesday,No,Low,High
office,0,Tuesday,No,Low,High
office,22,Wednesday,No,Low,High
station,23,Saturday,Yes,Low,High
residential,13,Friday,No,Low,High
office,4,Tuesday,No,Low,High
residential,10,Wednesday,No,Low,High
office,14,Tuesday,No,Medium,Medium
residential,17,Thursday,No,Low,High
market,2,Monday,No,Low,High
market,1,Wednesday,No,Low,High
office,2,Friday,No,Low,High
station,23,Friday,No,Low,High
office,17,Tuesday,No,Medium,Low
market,8,Tuesday,No,Low,Medium
residential,6,Wednesday,No,Low,High
mall,9,Tuesday,No,Medium,High
office,22,Thursday,No,Low,High
office,14,Monday,No,Low,High
station,5,Wednesday,No,Low,High
station,8,Friday,No,Medium,Low
mall,6,Thursday,No,Low,Medium
station,1,Saturday,No,Low,High
mall,8,Wednesday,No,Low,High
office,21,Monday,No,Low,High
office,21,Wednesday,No,Medium,High
residential,18,Friday,No,Low,Medium
market,22,Wednesday,No,Low,Medium
residential,17,Thursday,No,Medium,High
market,16,Friday,No,Medium,Medium
market,12,Monday,No,Low,Medium
mall,21,Monday,No,Medium,High
office,10,Tuesday,No,High,Low
station,10,Sunday,Yes,Medium,Low
market,9,Saturday,No,Low,High
office,9,Thursday,No,Medium,Low
office,7,Friday,No,High,Low
office,21,Saturday,No,Low,High
office,8,Saturday,No,Low,High
market,10,Wednesday,No,Low,High
station,5,Wednesday,No,Low,High
residential,20,Saturday,No,Low,High
mall,1,Tuesday,No,Low,High
market,6,Tuesday,No,Low,High
residential,8,Monday,No,Low,Medium
mall,11,Sunday,Yes,Medium,Medium
market,16,Monday,No,Low,High
market,3,Friday,No,Low,High
mall,15,Thursday,Yes,Medium,Low
market,12,Monday,No,Low,Medium
office,9,Thursday,No,Medium,Low
office,4,Wednesday,No,Low,High
residential,21,Tuesday,No,Medium,Low
office,5,Sunday,No,Low,High
market,19,Friday,No,Medium,Low
residential,7,Saturday,No,Medium,Low
station,5,Friday,No,Low,High
market,20,Sunday,No,Medium,Low
office,18,Friday,No,Medium,Low
office,21,Thursday,No,Medium,Medium
office,6,Monday,No,Low,High
office,0,Friday,No,Low,Medium
market,13,Thursday,No,Low,Medium
residential,6,Friday,No,Low,High
residential,18,Monday,No,Medium,Low
station,10,Monday,No,Medium,Low
mall,2,Sunday,No,Low,Medium
office,0,Wednesday,No,Low,High
market,7,Monday,No,Low,Medium
office,21,Thursday,No,Low,High
market,3,Sunday,No,Low,High
office,22,Saturday,No,Low,High
mall,12,Saturday,No,Medium,Low
mall,20,Wednesday,No,Medium,Low
mall,9,Saturday,No,Medium,Medium
residential,9,Friday,No,Medium,Medium
mall,3,Friday,No,Low,High
office,7,Thursday,No,Medium,Medium
office,20,Saturday,Yes,Medium,High
office,22,Tuesday,No,Low,High
office,11,Friday,No,Low,Medium
office,17,Tuesday,No,Medium,Low
mall,8,Thursday,No,Medium,Medium
market,22,Tuesday,No,Low,Medium
market,21,Friday,Yes,Medium,Low
market,6,Monday,No,Low,Medium
station,18,Saturday,No,Low,Low
residential,18,Tuesday,No,Low,Medium
station,19,Wednesday,No,Medium,Low
market,10,Saturday,Yes,Medium,Low
mall,9,Friday,No,Low,High
office,23,Friday,No,Low,High
office,3,Wednesday,No,Low,High
office,2,Tuesday,No,Low,High
station,13,Wednesday,No,Low,High
market,6,Saturday,No,Low,High
residential,20,Monday,No,Medium,Low
office,12,Saturday,No,Medium,High
office,21,Friday,No,Low,High
office,12,Tuesday,No,Medium,High
market,14,Friday,No,Low,High
residential,3,Wednesday,No,Low,High
mall,7,Thursday,No,Medium,High
office,9,Sunday,No,Medium,High
mall,22,Monday,No,Low,High
office,23,Friday,No,Low,High
station,17,Monday,No,Medium,Low
station,1,Tuesday,No,Low,High
market,21,Wednesday,No,Medium,Low
mall,16,Friday,No,Low,High
residential,11,Monday,No,Medium,Medium
mall,6,Tuesday,No,Low,High
mall,19,Tuesday,No,Medium,High
station,13,Wednesday,No,Low,High
market,1,Sunday,No,Low,High
residential,13,Sunday,No,Low,High
residential,23,Wednesday,No,Low,High
office,22,Tuesday,No,Low,Medium
market,10,Friday,No,Low,Low
mall,8,Sunday,No,Medium,Low
office,19,Friday,No,Medium,Low
office,16,Sunday,No,Low,High
market,11,Friday,No,Low,Medium
market,1,Friday,No,Low,High
mall,12,Thursday,No,Low,Medium
residential,13,Thursday,No,Low,High
residential,18,Monday,No,Low,Medium
office,9,Sunday,No,Low,High
residential,21,Wednesday,No,Medium,Low
residential,13,Wednesday,No,Medium,Medium
market,16,Saturday,No,Medium,Medium
station,21,Sunday,No,Medium,Low
office,23,Friday,No,Low,High
office,6,Thursday,No,Low,Medium
mall,9,Friday,No,Medium,Medium
market,19,Sunday,Yes,High,Low
residential,19,Sunday,No,Low,High
office,9,Friday,No,Medium,Medium
mall,4,Tuesday,No,Low,High
mall,2,Friday,No,Low,High
residential,11,Sunday,No,Low,High
market,20,Wednesday,No,Medium,Low
office,13,Tuesday,No,Low,High
market,8,Tuesday,No,Low,High
office,10,Saturday,No,Medium,High
mall,12,Friday,No,Low,Medium
office,8,Wednesday,No,Medium,Low
residential,1,Sunday,No,Low,High
market,21,Monday,No,Medium,Medium
office,10,Wednesday,No,Medium,Medium
mall,21,Sunday,Yes,High,Low
mall,13,Tuesday,No,Low,High
residential,6,Saturday,Yes,Low,High
mall,9,Thursday,No,Medium,Medium
office,0,Sunday,No,Low,High
residential,19,Wednesday,No,Low,Low
station,3,Wednesday,No,Low,High
residential,2,Friday,No,Low,High
residential,7,Thursday,No,Medium,High
station,13,Sunday,No,Low,High
office,0,Friday,No,Low,High
office,16,Saturday,No,Low,High
mall,9,Wednesday,No,Medium,High
residential,11,Tuesday,No,Low,High
office,17,Monday,Yes,Medium,High
residential,23,Saturday,No,Low,High
market,1,Thursday,No,Low,High
station,18,Saturday,No,Medium,Low
mall,13,Saturday,No,Medium,Low
residential,7,Thursday,No,Low,Medium
residential,9,Sunday,No,Medium,Low
office,23,Friday,No,Low,High
residential,15,Sunday,No,Low,High
market,17,Friday,No,Medium,Low
market,18,Tuesday,No,Medium,Low
residential,8,Thursday,No,Low,Medium
market,1,Tuesday,No,Low,Medium
market,2,Friday,No,Low,High
office,3,Friday,No,Low,High
mall,6,Monday,No,Low,High
office,10,Sunday,No,Medium,High
mall,7,Thursday,No,Low,High
market,7,Wednesday,No,Medium,Medium
residential,2,Tuesday,No,Low,High
office,8,Saturday,No,Low,High
mall,6,Thursday,No,Low,Medium
office,4,Thursday,No,Low,High
office,22,Sunday,No,Low,High
mall,5,Tuesday,No,Low,High
station,23,Sunday,No,Low,High
station,19,Thursday,No,Medium,Low
office,14,Monday,No,Low,High
office,1,Friday,No,Low,Medium
station,3,Saturday,Yes,Low,High
residential,8,Thursday,No,Medium,Medium
market,1,Wednesday,No,Low,Medium
mall,20,Friday,No,Medium,Low
market,17,Saturday,No,High,Low
office,15,Sunday,No,Low,High
mall,17,Saturday,No,Medium,Low
market,21,Saturday,No,Medium,Low
office,6,Friday,No,Low,High
residential,19,Saturday,No,Low,High
office,16,Saturday,No,Medium,High
office,10,Thursday,No,Medium,Low
market,5,Friday,No,Low,High
station,14,Monday,Yes,Low,High
mall,11,Sunday,No,Medium,Medium
office,9,Wednesday,No,Medium,Low
station,13,Friday,No,Low,High
office,6,Saturday,No,Low,High
station,11,Thursday,No,Medium,Medium
station,23,Sunday,Yes,Low,High
station,15,Thursday,No,Low,Medium
station,20,Wednesday,No,Medium,Medium
residential,16,Saturday,No,Medium,Medium
residential,3,Wednesday,No,Low,High
office,20,Thursday,No,Medium,Medium
market,3,Sunday,Yes,Low,High
office,18,Friday,No,Medium,Medium
market,1,Thursday,No,Low,High
station,2,Sunday,No,Low,High
office,14,Monday,No,Low,Medium
station,13,Tuesday,No,Low,High
station,4,Thursday,No,Low,High
market,5,Sunday,No,Low,High
mall,1,Sunday,No,Low,High
residential,15,Tuesday,No,Low,Medium
office,16,Wednesday,No,Low,Low
office,18,Thursday,No,Medium,Low
office,23,Friday,No,Low,High
residential,3,Tuesday,No,Low,High
mall,6,Monday,No,Low,Medium
residential,14,Tuesday,No,Low,Medium
mall,10,Thursday,No,Low,High
mall,11,Friday,No,Low,High
market,1,Wednesday,No,Low,High
station,8,Thursday,No,Medium,Low
residential,16,Thursday,No,Low,High
office,10,Sunday,No,Low,High
market,7,Monday,No,Low,Medium
office,4,Saturday,No,Low,High
office,18,Tuesday,No,Medium,Low
office,1,Wednesday,No,Low,High
residential,7,Friday,No,Medium,Low
office,18,Thursday,No,Medium,Low
residential,1,Sunday,Yes,Low,High
residential,4,Saturday,No,Low,High
mall,0,Monday,No,Low,High
office,21,Thursday,No,Low,High
station,10,Saturday,No,Low,Medium
office,10,Wednesday,No,Medium,Low
office,21,Sunday,No,Low,High
office,19,Thursday,No,Medium,Low
station,8,Thursday,Yes,High,Low
mall,6,Thursday,No,Low,High
station,2,Wednesday,No,Low,High
residential,7,Thursday,No,Medium,Medium
mall,3,Monday,No,Low,Medium
market,15,Friday,No,Low,Medium
market,20,Thursday,No,Medium,Low
mall,15,Friday,No,Low,Medium
market,6,Tuesday,No,Low,High
office,13,Sunday,No,Low,High
residential,16,Thursday,No,Low,High
market,0,Friday,No,Low,Medium
market,16,Wednesday,No,Low,Medium
market,17,Saturday,Yes,Medium,Low
mall,20,Tuesday,No,Medium,High
station,20,Tuesday,No,Medium,Medium
office,0,Thursday,No,Low,High
office,20,Wednesday,No,Medium,Low
mall,16,Sunday,No,Medium,Low
office,4,Friday,No,Low,High
office,3,Wednesday,No,Low,High
station,1,Wednesday,No,Low,High
residential,23,Monday,No,Low,High
office,22,Friday,No,Low,High
market,23,Monday,No,Low,High
mall,10,Sunday,Yes,Medium,Medium
residential,7,Thursday,No,Low,High
station,3,Thursday,No,Low,High
mall,17,Monday,No,Medium,High
residential,17,Monday,No,Medium,Low
office,10,Monday,No,Medium,Medium
residential,1,Friday,No,Low,High
office,18,Thursday,No,High,Low
residential,8,Tuesday,No,Medium,Low
residential,2,Sunday,Yes,Low,High
mall,15,Wednesday,No,Medium,High
market,22,Monday,No,Low,High
mall,22,Tuesday,No,Low,High
office,19,Saturday,No,Low,High
office,13,Wednesday,No,Low,High
mall,10,Tuesday,No,Low,High
office,18,Sunday,No,Low,High
office,11,Wednesday,No,Low,Medium
station,6,Thursday,No,Low,Medium
mall,10,Sunday,No,Low,High
station,14,Thursday,No,Low,High
market,0,Monday,Yes,Low,High
office,17,Thursday,No,Medium,Low
residential,18,Friday,No,Low,High
office,10,Sunday,No,Low,High
market,5,Friday,No,Low,High
mall,12,Wednesday,Yes,High,Low
market,5,Monday,No,Low,Medium
market,14,Thursday,No,Low,High
office,3,Friday,No,Low,High
residential,3,Wednesday,No,Low,High
office,0,Saturday,No,Low,High
residential,10,Monday,No,Medium,Medium
mall,10,Tuesday,Yes,Medium,High
market,23,Sunday,No,Low,High
mall,6,Sunday,No,Low,High
office,16,Monday,No,Low,Medium
office,22,Monday,No,Low,High
office,15,Sunday,No,Low,High
market,15,Thursday,No,Low,Medium
mall,11,Saturday,Yes,Low,High
mall,16,Tuesday,No,Medium,Medium
office,21,Thursday,No,Medium,Medium
station,17,Sunday,Yes,Medium,Low
office,19,Saturday,Yes,Medium,High
office,13,Wednesday,No,Low,High
market,0,Saturday,No,Low,High
mall,1,Sunday,No,Low,High
mall,17,Saturday,No,High,Low
office,21,Sunday,No,Low,High
residential,10,Thursday,No,Medium,Medium
market,12,Thursday,No,Low,Medium
market,16,Saturday,Yes,Medium,Low
market,17,Thursday,No,Medium,Low
office,12,Monday,No,Low,High
residential,14,Monday,No,Low,Medium
residential,12,Thursday,Yes,Low,Medium
mall,8,Thursday,No,Low,High
office,4,Saturday,No,Low,High
office,16,Monday,No,Low,High
office,9,Wednesday,No,Medium,Low
office,14,Friday,No,Low,High
office,2,Thursday,No,Low,High
station,2,Wednesday,No,Low,High
office,2,Monday,No,Low,High
office,18,Thursday,No,High,Low
mall,23,Thursday,No,Low,High
residential,6,Saturday,No,Low,High
mall,18,Tuesday,No,Medium,High
mall,15,Thursday,No,Low,High
station,10,Monday,No,Medium,Low
office,14,Tuesday,No,Low,High
office,15,Sunday,Yes,Low,High
market,8,Sunday,No,Medium,Low
station,5,Wednesday,No,Low,High
residential,11,Thursday,No,Low,High
office,1,Sunday,No,Low,High
market,5,Monday,No,Low,High
mall,15,Friday,No,Low,Medium
office,3,Thursday,No,Low,Medium
residential,9,Monday,No,Low,Medium
mall,9,Tuesday,No,Medium,Medium
office,8,Monday,No,Medium,Low
residential,17,Saturday,No,Low,High
market,21,Tuesday,No,Medium,Low
mall,12,Monday,No,Low,High
station,19,Friday,Yes,Medium,Low
office,0,Saturday,Yes,Low,High
residential,9,Wednesday,No,Medium,Medium
station,16,Tuesday,No,Low,Medium
office,4,Tuesday,No,Low,Medium
office,20,Sunday,No,Low,High
mall,17,Saturday,No,Medium,Low
mall,23,Friday,No,Low,High
office,4,Thursday,No,Low,High
mall,16,Tuesday,No,Medium,Medium
mall,21,Tuesday,No,Medium,High
office,20,Wednesday,No,High,Low
office,14,Friday,No,Low,High
residential,2,Friday,No,Low,High
market,5,Tuesday,No,Low,High
residential,16,Tuesday,No,Low,Medium
office,17,Thursday,Yes,Medium,High
mall,14,Friday,No,Medium,Medium
residential,9,Saturday,No,Low,Medium
mall,7,Sunday,No,Low,High
office,6,Sunday,No,Low,High
market,7,Friday,No,Low,High
station,12,Monday,No,Low,High
station,22,Tuesday,No,Low,High
office,15,Wednesday,No,Low,Medium
office,7,Tuesday,No,Medium,Medium
office,10,Wednesday,No,Medium,Low
office,8,Friday,No,High,Low
residential,20,Monday,No,Low,High
market,5,Tuesday,No,Low,High
mall,12,Sunday,No,Medium,Medium
office,15,Wednesday,Yes,Low,High
residential,7,Thursday,No,Medium,High
mall,3,Wednesday,No,Low,Medium
office,0,Saturday,Yes,Low,High
mall,18,Saturday,No,Medium,Medium
market,23,Friday,No,Low,High
market,0,Saturday,No,Low,High
station,19,Friday,No,Medium,Medium
residential,3,Wednesday,No,Low,High
market,21,Tuesday,No,Medium,Low
mall,11,Tuesday,No,Low,High
office,0,Thursday,Yes,Low,High
market,16,Friday,No,Low,Medium
residential,8,Monday,No,Low,High
office,16,Sunday,No,Low,High
office,23,Friday,No,Low,High
office,2,Monday,Yes,Low,High
station,22,Friday,No,Low,High
station,3,Monday,Yes,Low,High
mall,15,Saturday,No,Medium,Low
residential,21,Friday,No,Low,High
office,1,Friday,Yes,Low,High
station,12,Monday,No,Low,High
office,21,Saturday,No,Low,High
station,14,Saturday,No,Low,High
station,16,Saturday,No,Low,High
market,6,Friday,No,Low,High
market,15,Monday,No,Low,High
station,6,Friday,No,Low,Medium
residential,16,Thursday,No,Low,High
office,16,Monday,No,Low,High
office,21,Thursday,No,Medium,Medium
office,8,Thursday,No,Medium,Low
office,13,Sunday,No,Low,High
office,0,Sunday,No,Low,High
market,12,Wednesday,No,Low,Medium
office,5,Thursday,No,Low,Medium
station,22,Sunday,No,Low,High
office,13,Friday,No,Low,High
market,15,Friday,No,Low,High
mall,22,Saturday,No,Low,High
station,10,Sunday,No,Low,High
station,11,Thursday,No,Low,High
station,22,Thursday,No,Low,High
market,10,Tuesday,No,Low,High
station,1,Friday,Yes,Low,High
station,5,Tuesday,No,Low,High
residential,5,Thursday,No,Low,High
market,5,Tuesday,No,Low,High
market,14,Monday,No,Low,Medium
market,6,Monday,Yes,Low,High
market,23,Thursday,Yes,Low,High
office,16,Sunday,No,Low,High
office,13,Wednesday,No,Low,High
residential,9,Monday,No,Low,High
station,4,Tuesday,No,Low,High
mall,2,Wednesday,No,Low,High
mall,8,Saturday,No,Medium,Medium
office,14,Wednesday,No,Medium,Medium
residential,8,Monday,No,Low,High
residential,12,Saturday,No,Low,High
station,9,Tuesday,No,Medium,Medium
mall,0,Monday,No,Low,High
office,7,Friday,No,High,Low
market,20,Monday,No,Medium,Low
mall,13,Tuesday,Yes,Medium,Low
residential,8,Friday,No,Low,Medium
office,20,Friday,No,Medium,Medium
residential,4,Friday,No,Low,High
mall,9,Sunday,No,Low,High
station,1,Sunday,No,Low,High
office,18,Wednesday,No,Medium,Low
residential,3,Sunday,No,Low,High
market,17,Wednesday,Yes,High,Low
office,11,Tuesday,No,Low,Medium
office,10,Wednesday,No,Medium,Low
station,3,Wednesday,No,Low,High
residential,18,Friday,No,Medium,Low
residential,17,Wednesday,No,Low,High
office,19,Wednesday,No,Medium,Low
market,2,Thursday,No,Low,High
market,1,Friday,No,Low,High
residential,23,Saturday,No,Low,High
mall,20,Saturday,No,Medium,Low
office,13,Wednesday,No,Low,High
market,2,Monday,No,Low,High
station,8,Tuesday,No,Medium,Low
mall,15,Thursday,No,Medium,Medium
station,17,Friday,Yes,Medium,Low
residential,1,Sunday,No,Low,High
office,2,Sunday,No,Low,High
residential,11,Sunday,No,Low,High
residential,23,Sunday,No,Low,High
station,9,Saturday,No,Low,Low
mall,4,Tuesday,No,Low,High
station,6,Monday,No,Low,Medium
mall,9,Monday,No,Medium,High
residential,20,Tuesday,No,Medium,Low
market,5,Monday,Yes,Low,High
market,9,Thursday,No,Medium,Medium
residential,4,Wednesday,No,Low,High
residential,16,Thursday,No,Low,Medium
office,16,Sunday,No,Low,High
office,3,Thursday,No,Low,Medium
residential,4,Friday,No,Low,High
office,16,Monday,No,Low,Medium
mall,5,Sunday,No,Low,High
residential,1,Friday,No,Low,High
office,13,Friday,No,Low,High
office,0,Sunday,Yes,Low,High
office,4,Monday,No,Low,Medium
office,6,Sunday,No,Low,High
office,13,Monday,No,Low,High
office,11,Friday,No,Low,Medium
office,4,Friday,No,Low,Medium
residential,13,Thursday,No,Low,High
market,2,Thursday,No,Low,High
residential,22,Tuesday,No,Low,High
residential,10,Sunday,No,Low,High
market,2,Thursday,No,Low,High
office,15,Friday,No,Low,High
residential,3,Wednesday,No,Low,High
residential,19,Monday,No,Medium,Low
market,16,Sunday,No,Medium,Low
mall,16,Tuesday,Yes,Medium,Low
office,21,Monday,No,Low,High
residential,12,Friday,No,Low,High
market,17,Friday,No,Medium,Low
market,1,Sunday,Yes,Low,High
market,1,Thursday,No,Low,High
market,15,Sunday,No,Medium,Medium
office,22,Wednesday,No,Low,High
mall,7,Sunday,Yes,Medium,High
residential,14,Sunday,No,Low,High
residential,2,Tuesday,No,Low,High
market,15,Wednesday,No,Low,High
market,10,Friday,No,Low,Medium
market,14,Sunday,No,Medium,Low
market,4,Tuesday,No,Low,Medium
station,23,Friday,No,Low,High
residential,3,Tuesday,No,Low,High
residential,18,Saturday,No,Low,Medium
market,9,Monday,Yes,Medium,Low
office,5,Friday,No,Low,High
office,18,Saturday,No,Medium,High
residential,2,Sunday,No,Low,High
market,14,Friday,No,Low,High
office,0,Wednesday,No,Low,High
office,20,Saturday,No,Medium,Medium
market,1,Saturday,No,Low,High
mall,7,Tuesday,No,Medium,Medium
mall,23,Friday,No,Low,High
market,5,Wednesday,No,Low,High
office,6,Wednesday,No,Low,High
mall,5,Monday,No,Low,High
office,9,Friday,No,Medium,Low
station,14,Wednesday,No,Low,Medium
market,22,Sunday,Yes,Low,High
station,17,Sunday,No,Low,Medium
residential,2,Thursday,No,Low,High
station,13,Friday,No,Medium,Medium
market,7,Saturday,No,Medium,Low
residential,22,Sunday,No,Low,High
market,6,Saturday,Yes,Low,High
market,22,Saturday,No,Low,High
residential,16,Saturday,Yes,Low,High
office,17,Saturday,No,Medium,High
mall,5,Monday,No,Low,High
station,2,Friday,No,Low,High
station,19,Sunday,No,Medium,Low
mall,8,Saturday,No,Medium,Medium
mall,13,Monday,No,Low,High
mall,20,Wednesday,No,Medium,High
mall,7,Thursday,No,Low,Medium
office,22,Thursday,No,Low,High
station,15,Saturday,No,Low,High
office,22,Thursday,No,Low,High
residential,6,Sunday,No,Low,High
station,4,Monday,No,Low,High
residential,4,Friday,No,Low,High
residential,17,Tuesday,No,Medium,High
market,13,Tuesday,No,Low,High
mall,0,Saturday,Yes,Medium,Medium
residential,8,Thursday,No,Low,High
station,12,Friday,No,Low,High
market,22,Thursday,No,Low,High
market,12,Tuesday,No,Low,High
mall,3,Monday,No,Low,High
office,21,Friday,No,Low,High
market,23,Friday,No,Low,High
residential,4,Saturday,No,Low,High
station,23,Tuesday,No,Low,High
station,9,Sunday,No,Low,High
residential,8,Saturday,No,Low,High
office,20,Tuesday,No,Medium,Low
office,14,Monday,No,Low,High
residential,9,Friday,No,Medium,Medium
mall,20,Saturday,No,Medium,Low
mall,13,Thursday,No,Low,Medium
mall,3,Tuesday,No,Low,High
market,12,Saturday,No,Medium,Low
market,1,Friday,Yes,Low,High
station,22,Friday,No,Low,High
market,22,Wednesday,No,Low,Medium
office,9,Sunday,No,Medium,High
market,17,Wednesday,No,Medium,Low
market,7,Friday,No,Low,High
office,5,Sunday,No,Low,High
mall,2,Wednesday,No,Low,Medium
office,1,Monday,No,Low,High
market,20,Wednesday,No,Medium,Low
office,2,Tuesday,No,Low,Medium
office,10,Saturday,No,Low,High
mall,12,Tuesday,No,Low,High
market,1,Wednesday,No,Low,High
mall,9,Thursday,No,Medium,High
office,12,Monday,No,Medium,Medium
mall,22,Friday,No,Low,High
mall,16,Wednesday,No,Low,Medium
station,19,Monday,Yes,High,Low
office,22,Tuesday,No,Low,High
mall,3,Friday,No,Low,High
office,9,Monday,No,Medium,Low
residential,11,Monday,No,Low,Medium
market,5,Wednesday,No,Low,High
office,22,Wednesday,No,Low,High
office,17,Friday,No,Medium,Low
office,21,Sunday,No,Medium,High
mall,10,Monday,No,Low,High
residential,18,Thursday,No,Low,Medium
station,16,Friday,No,Low,High
residential,14,Thursday,No,Low,High
office,21,Sunday,No,Low,High
office,10,Monday,No,High,Low
office,23,Thursday,No,Low,High
office,6,Wednesday,No,Low,High
