area_type,hour,day_type,holiday,traffic_level,parking_availability
residential,14,weekday,Yes,High,Low
residential,16,weekday,Yes,High,Low
residential,18,weekday,Yes,High,Low
residential,20,weekday,Yes,High,Low
residential,22,weekday,Yes,Low,High
residential,23,weekday,Yes,Low,High
residential,6,weekend,No,Low,High
residential,7,weekend,No,Low,High
residential,8,weekend,No,Low,High
residential,9,weekend,No,Low,High
residential,10,weekend,No,Medium,Medium
residential,12,weekend,No,Medium,Medium
residential,14,weekend,No,Medium,Medium
residential,16,weekend,No,Medium,Medium
residential,18,weekend,No,High,Low
residential,20,weekend,No,High,Low
residential,22,weekend,No,High,High
residential,23,weekend,No,Low,High
residential,6,weekend,Yes,Low,High
residential,7,weekend,Yes,Low,High
residential,8,weekend,Yes,Low,High
residential,9,weekend,Yes,Low,High
residential,10,weekend,Yes,High,Low
residential,12,weekend,Yes,High,Low
residential,14,weekend,Yes,High,Low
residential,16,weekend,Yes,High,Low
residential,18,weekend,Yes,High,Low
residential,20,weekend,Yes,High,Low
residential,22,weekend,Yes,High,High
residential,23,weekend,Yes,Low,High
market,6,weekday,No,Low,High
market,7,weekday,No,Medium,Medium
market,8,weekday,No,Medium,Medium
market,9,weekday,No,High,Low
market,10,weekday,No,High,Low
market,12,weekday,No,High,Low
market,14,weekday,No,High,Low
market,16,weekday,No,High,Low
market,18,weekday,No,High,Low
market,20,weekday,No,Medium,Medium
market,22,weekday,No,Low,High
market,23,weekday,No,Low,High
market,6,weekday,Yes,Low,High
market,7,weekday,Yes,Medium,Medium
market,8,weekday,Yes,Medium,Medium
market,9,weekday,Yes,High,Low
market,10,weekday,Yes,High,Low
market,12,weekday,Yes,High,Low
market,14,weekday,Yes,High,Low
market,16,weekday,Yes,High,Low
market,18,weekday,Yes,High,Low
market,20,weekday,Yes,High,Low
market,22,weekday,Yes,Low,High
market,23,weekday,Yes,Low,High
market,6,weekend,No,Low,High
market,7,weekend,No,Low,High
market,8,weekend,No,Medium,Medium
market,9,weekend,No,Medium,Low
market,10,weekend,No,High,Low
market,12,weekend,No,High,Low
market,14,weekend,No,High,Low
market,16,weekend,No,High,Low
market,18,weekend,No,High,Low
market,20,weekend,No,Medium,Medium
market,22,weekend,No,Low,High
market,23,weekend,No,Low,High
market,6,weekend,Yes,Low,High
market,7,weekend,Yes,Low,High
market,8,weekend,Yes,Medium,Medium
market,9,weekend,Yes,Medium,Low
market,10,weekend,Yes,High,Low
market,12,weekend,Yes,High,Low
market,14,weekend,Yes,High,Low
market,16,weekend,Yes,High,Low
market,18,weekend,Yes,High,Low
market,20,weekend,Yes,High,Low
market,22,weekend,Yes,Low,High
market,23,weekend,Yes,Low,High
station,6,weekday,No,High,Low
station,7,weekday,No,High,Low
station,8,weekday,No,High,Low
station,9,weekday,No,High,Low
station,10,weekday,No,High,Low
station,12,weekday,No,Medium,Medium
station,14,weekday,No,Medium,Medium
station,16,weekday,No,Medium,Medium
station,18,weekday,No,High,Low
station,20,weekday,No,High,Low
station,22,weekday,No,Medium,Medium
station,23,weekday,No,Low,High
station,6,weekday,Yes,High,Low
station,7,weekday,Yes,High,Low
station,8,weekday,Yes,High,Low
station,9,weekday,Yes,High,Low
station,10,weekday,Yes,High,Low
station,12,weekday,Yes,High,Low
station,14,weekday,Yes,High,Low
station,16,weekday,Yes,High,Low
station,18,weekday,Yes,High,Low
station,20,weekday,Yes,High,Low
station,22,weekday,Yes,Medium,Medium
station,23,weekday,Yes,Low,High
station,6,weekend,No,High,Low
station,7,weekend,No,High,Low
station,8,weekend,No,High,Low
station,9,weekend,No,High,Low
station,10,weekend,No,High,Low
station,12,weekend,No,Medium,Medium
station,14,weekend,No,Medium,Medium
station,16,weekend,No,Medium,Medium
station,18,weekend,No,High,Low
station,20,weekend,No,High,Low
station,22,weekend,No,Medium,Medium
station,23,weekend,No,Low,High
station,6,weekend,Yes,High,Low
station,7,weekend,Yes,High,Low
station,8,weekend,Yes,High,Low
station,9,weekend,Yes,High,Low
station,10,weekend,Yes,High,Low
station,12,weekend,Yes,High,Low
station,14,weekend,Yes,High,Low
station,16,weekend,Yes,High,Low
station,18,weekend,Yes,High,Low
station,20,weekend,Yes,High,Low
station,22,weekend,Yes,Medium,Medium
station,23,weekend,Yes,Low,High
